HAP ID,Status,Type,Tenant Zipcode,Total Amount Paid
HAP763,approved,rental,99244,5362
HAP203,approved,rental,99224,7875
HAP200,approved,rental,99224,9600
HAP548,approved,rental,99224,5020
HAP547,approved,rental,99224,6314
HAP559,approved,rental,99224,13359.1
HAP590,approved,rental,99224,6314
HAP648,approved,rental,99224,4656
HAP644,approved,rental,99224,5748
HAP644,approved,rental,99224,958
HAP756,approved,rental,99224,3552
HAP804,approved,rental,99224,2061
HAP889,approved,rental,99224,9995
HAP920,approved,rental,99224,4375
HAP942,approved,rental,99224,8775
HAP976,approved,rental,99224,5250
HAP1010,approved,rental,99224,9045
HAP1069,approved,rental,99224,4284
HAP1104,approved,rental,99224,10140
HAP1270,approved,rental,99224,11820
HAP1043,approved,rental,99224,5486.77
HAP1356,approved,rental,99224,5025
HAP89,approved,rental,99224,1368
HAP89,approved,rental,99224,2325
HAP89,approved,rental,99224,3648
HAP1678,approved,rental,99224,6198
HAP1673,approved,rental,99224,3832
HAP672,approved,rental,99224,5467
HAP1828,approved,rental,99224,5335
HAP1811,approved,rental,99224,6856
HAP1825,approved,rental,99224,3788
HAP1846,approved,rental,99224,5960
HAP1876,approved,rental,99224,9425
HAP1882,approved,rental,99224,5150
HAP1910,approved,rental,99224,4550
HAP1965,approved,rental,99224,3064
HAP2003,approved,rental,99224,2195
HAP1970,approved,rental,99224,4072
HAP1975,approved,rental,99224,4031.12
HAP1969,approved,rental,99224,5010
HAP1982,approved,rental,99224,4500
HAP2009,approved,rental,99224,1170
HAP252,approved,rental,99223,19836
HAP252,approved,rental,99223,3516
HAP79,approved,rental,99223,6810
HAP213,approved,rental,99223,5214
HAP304,approved,rental,99223,4217
HAP380,approved,rental,99223,10080
HAP15,approved,rental,99223,8146.8
HAP186,approved,rental,99223,11050
HAP344,approved,rental,99223,5810
HAP52,approved,rental,99223,8760
HAP49,approved,rental,99223,4777
HAP13,approved,rental,99223,7740.5
HAP82,approved,rental,99223,12163
HAP112,approved,rental,99223,10330
HAP140,approved,rental,99223,4290
