HAP ID,Status,Manager,Type,Tenant Zipcode,Total Amount Paid
HAP763,approved,Evan Grinalds,rental,99244,5362
HAP203,approved,Janet Bray,rental,99224,7875
HAP200,approved,Evan Grinalds,rental,99224,9600
HAP548,approved,Jeremiah Johnson,rental,99224,5020
HAP547,approved,Leona Gonzales,rental,99224,6314
HAP559,approved,Monica Hiestand,rental,99224,13359.1
HAP590,approved,Jill Hughes,rental,99224,6314
HAP648,approved,Monica Hiestand,rental,99224,4656
HAP644,approved,Jeremiah Johnson,rental,99224,5748
HAP644,approved,Jeremiah Johnson,rental,99224,958
HAP756,approved,Monica Hiestand,rental,99224,3552
HAP804,approved,Leona Gonzales,rental,99224,2061
HAP889,approved,Jill Hughes,rental,99224,9995
HAP920,approved,Leona Gonzales,rental,99224,4375
HAP942,approved,Leona Gonzales,rental,99224,8775
HAP976,approved,Janet Bray,rental,99224,5250
HAP1010,approved,Jeremiah Johnson,rental,99224,9045
HAP1069,approved,Janet Bray,rental,99224,4284
HAP1104,approved,Evan Grinalds,rental,99224,10140
HAP1270,approved,Jeremiah Johnson,rental,99224,11820
HAP1043,approved,Leona Gonzales,rental,99224,5486.77
HAP1356,approved,Cameron Dolsby,rental,99224,5025
HAP89,approved,Jeremiah Johnson,rental,99224,1368
HAP89,approved,Jeremiah Johnson,rental,99224,2325
HAP89,approved,Jeremiah Johnson,rental,99224,3648
HAP1678,approved,Cameron Dolsby,rental,99224,6198
HAP1673,approved,Janet Bray,rental,99224,3832
HAP672,approved,Leona Gonzales,rental,99224,5467
HAP1828,approved,Janet Bray,rental,99224,5335
HAP1811,approved,Janet Bray,rental,99224,6856
HAP1825,approved,Jill Hughes,rental,99224,3788
HAP1846,approved,Janet Bray,rental,99224,5960
HAP1876,approved,Janet Bray,rental,99224,9425
HAP1882,approved,Janet Bray,rental,99224,5150
HAP1910,approved,Janet Bray,rental,99224,4550
HAP1965,approved,Janet Bray,rental,99224,3064
HAP2003,approved,Jeremiah Johnson,rental,99224,2195
HAP1970,approved,Janet Bray,rental,99224,4072
HAP1975,approved,Janet Bray,rental,99224,4031.12
HAP1969,approved,Jeremiah Johnson,rental,99224,5010
HAP1982,approved,Janet Bray,rental,99224,4500
HAP2009,approved,Jeremiah Johnson,rental,99224,1170
HAP252,approved,Jeremiah Johnson,rental,99223,19836
HAP252,approved,Jeremiah Johnson,rental,99223,3516
HAP79,approved,Lynnetta Lewis,rental,99223,6810
HAP213,approved,Jeremiah Johnson,rental,99223,5214
HAP304,approved,Evan Grinalds,rental,99223,4217
HAP380,approved,Leona Gonzales,rental,99223,10080
HAP15,approved,Monica Hiestand,rental,99223,8146.8
HAP186,approved,Evan Grinalds,rental,99223,11050
HAP344,approved,Monica Hiestand,rental,99223,5810
HAP52,approved,Jeremiah Johnson,rental,99223,8760
HAP49,approved,Josh Seiersen,rental,99223,4777
HAP13,approved,Josh Seiersen,rental,99223,7740.5
HAP82,approved,Monica Hiestand,rental,99223,12163
HAP112,approved,Leona Gonzales,rental,99223,10330
HAP140,approved,Josh Seiersen,rental,99223,4290
HAP94,approved,Leona Gonzales,rental,99223,2812
HAP161,approved,Jeremiah Johnson,rental,99223,4331
HAP185,approved,Lynnetta Lewis,rental,99223,4686
HAP466,approved,Jeremiah Johnson,rental,99223,4125
HAP466,approved,Jeremiah Johnson,rental,99223,1650
HAP461,approved,Jill Hughes,rental,99223,0
HAP182,approved,Lynnetta Lewis,rental,99223,6000
HAP539,approved,Leona Gonzales,rental,99223,960
HAP539,approved,Leona Gonzales,rental,99223,544
HAP625,approved,Evan Grinalds,rental,99223,9600
HAP693,approved,Jeremiah Johnson,rental,99223,3800
HAP693,approved,Jeremiah Johnson,rental,99223,5700
HAP769,approved,Evan Grinalds,rental,99223,6000
HAP806,approved,Evan Grinalds,rental,99223,4950
HAP775,approved,Leona Gonzales,rental,99223,5225
HAP1343,approved,Jeremiah Johnson,rental,99223,968
HAP868,approved,Leona Gonzales,rental,99223,6180
HAP935,approved,Jeremiah Johnson,rental,99223,5600
HAP945,approved,Leona Gonzales,rental,99223,7175
HAP987,approved,Leona Gonzales,rental,99223,4790
HAP999,approved,Cameron Dolsby,rental,99223,7035
HAP1000,approved,Leona Gonzales,rental,99223,5405.68
HAP1044,approved,Leona Gonzales,rental,99223,12192
HAP1094,approved,Monica Hiestand,rental,99223,6275
HAP1082,approved,Monica Hiestand,rental,99223,10432.5
HAP325,approved,Evan Grinalds,rental,99223,6100
HAP691,approved,Evan Grinalds,rental,99223,4805
HAP1238,approved,Monica Hiestand,rental,99223,430
